id,code,knumber,Category,Version,Status,month-year,Notes
,ANZ-Tips-001-11-Reasons_to_move_01,,5,1,3,,
,ANZ-Tips-002-11-Reasons_to_move_02,,5,1,3,,
,ANZ-Tips-003-11-Reasons_to_move_03,,5,1,3,,
,ANZ-Info-001-10-Weather,,3,1,3,,
,ANZ-Info-002-10-Opening_Hours,,3,1,3,,
,ANZ-Info-003-30-News,,3,1,3,,
,ANZ-Info-004-14-Christmas_2008,,3,1,3,,
,ANZ-Info-005-18-Christmas2-2008,,3,1,3,,
,ANZ-Info-006-10-Weather_NewBrand,,3,1,3,,
,ANZ-Info-007-10-Opening_Hours_NewBrand,,3,1,3,,
,ANZ-Info-008-30-News_NewBrand,,3,1,3,,
,ANZ-Info-009-14-SeasonsGreetings,,3,1,3,,
,ANZ-Info-010-14-SeasonsGreetings_Matrix,,3,1,3,,
,ANZ-Info-011-10-Weather_Autumn,,3,1,3,,
,ANZ-Info-012-10-OpeningHours_revised,,3,1,3,,
,ANZ-Info-008-040-News_New_Brand,,3,1,3,,
,ANZ-Info-013-10-Weather_Winter_2010,,3,1,3,,
,ANZ-Info-014-00-Template_News_Aug2010,,3,1,3,,
,ANZ-Info-015-00- InternetBanking_1,,3,1,3,,Saved by Fujitsu as ANZ-Info-MB001-026-InternetBanking  
,ANZ-Info-016-00- InternetBanking_2,,3,1,3,,
,ANZ-Info-017-00- InternetBanking_3,,3,1,3,,
,ANZ-Info-018-00- InternetBanking_4,,3,1,3,,
,ANZ-Info-019-00- InternetBanking_5,,3,1,3,,
,ANZ-Info-020-00- InternetBanking_6,,3,1,3,,
,ANZ-Info-021-00- InternetBanking_7,,3,1,3,,
,ANZ-Info-022-00- InternetBanking_8,,3,1,3,,
,ANZ-Info-024-00-FX_Landscape,,3,1,3,,
,ANZ-Info-023-Opening_Hours,,3,1,3,,
,ANZ-Info-025-00-FX_Portrait,,3,1,3,,
,ANZ-Info-026-Weather_Spring_2010,,3,1,3,,
,ANZ-Info-027-00-FX_Airside_1,,3,1,3,,Rates 1-6 rename as ANZ-Info-027-00-FX_Airside_1
,ANZ-Info-028-00-FX_Airside_2,,3,1,3,,Rates 7-12 rename as ANZ-Info-028-00-FX_Airside_2
,ANZ-Info-029-00-FX_Airside_3,,3,1,3,,Rates 13-18 rename as ANZ-Info-029-00-FX_Airside_3
,ANZ-Info-030-00-FX_Airside_4,,3,1,3,,Rates 19-24 rename as ANZ-Info-030-00-FX_Airside_4
,ANZ-Info-031-42-News_National,,3,1,3,,
,ANZ-Info-032-42-News_Business,,3,1,3,,
,ANZ-Info-033-42-News_World,,3,1,3,,
,ANZ-Info-034-42-News_Sport,,3,1,3,,
,ANZ-Info-035-42-News_Entertainment,,3,1,3,,
,ANZ-Info-036-42-News_Technology,,3,1,3,,
,ANZ-Info-026-Weather_Winter_2011,,3,1,3,,
,ANZ-Info-037-00-Christmas_2011,,3,1,3,,
,ANZ-Info-037-00-Smart-Choice-Super-ANZCentre,,3,1,3,,Only to be played on stand alone screen at 833 Collins St
,ANZ-Comm-001-45-Community_Giving,,4,1,3,,
,ANZ-Comm-002-53-Financial_literacy_and_inclusion,,4,1,3,,
,ANZ-Comm-003-09-Bushfires,,4,1,3,,
,ANZ-Comm-004-15-Qld_floods,,4,1,3,,
,ANZ-Comm-005-29-Hardship_Program,,4,1,3,,
,ANZ-Comm-006-23-WomensSessions,,4,1,3,,
,ANZ-Comm-007-10-MostSatisfiedCustomers-TZ&SZ,,4,1,3,,
,ANZ-Comm-008-20-MostSatisfiedCustomers-PZ,,4,1,3,,
,ANZ-Comm-009-30-SaverPlus,,4,1,3,,
,ANZ-Comm-010-23-DaffodilDay,,4,1,3,,
,ANZ-Comm-011-10-PinkRibbonDay,,4,1,3,,
,ANZ-Comm-012-30-SaverPlus,,4,1,3,,
,ANZ-Comm-013-17-Haiti,,4,1,3,,
,ANZ-Comm-014-30-MoneyMinded,,4,1,3,,
,ANZ-Comm-015-10-MoneyMinded_Prospect,,4,1,3,,
,ANZ-Comm-016-10-QldFloods,,4,1,3,,
,ANZ-Comm-017-10-QldFloods2,,4,1,3,,
,ANZ-Comm-018-00-SaverPlus,,4,1,3,,New content created Feb 2011
,ANZ-Camp-001-20-FP_No_Regrets,,2,1,3,,
,ANZ-Camp-002-15-Pre_approved,,2,1,3,,
,ANZ-Camp-003-15-Credit_Card_BT_0,,2,1,3,,
,ANZ-Camp-004-28-Faces-C-Matrix ,,2,1,3,,
,ANZ-Camp-005-28-Faces-D-Matrix ,,2,1,3,,
,ANZ-Camp-006-05-Personal-Loan_Airfreshner_Matrix ,,2,1,3,,
,ANZ-Camp-007-25-Visa_Debit_Matrix,,2,1,3,,
,ANZ-Camp-008-15-Save-Organise,,2,1,3,,
,ANZ-Camp-009-15-HLLOTY_10Times,,2,1,3,,
,ANZ-Camp-010-26-Opt_Buying_A_Home,,2,1,3,,
,ANZ-Camp-011-24-Opt_Debt_Consolidation,,2,1,3,,
,ANZ-Camp-012-34-Opt_Planning_Ahead,,2,1,3,,
,ANZ-Camp-013-20-Opt_Saving,,2,1,3,,
,ANZ-Camp-014-30-Opt_Small_Business,,2,1,3,,
,ANZ-Camp-015-33-Opt_Planning_Ahead_Matrix,,2,1,3,,
,ANZ-Camp-016-29-Opt_Saving_Matrix,,2,1,3,,
,ANZ-Camp-017-29-Opt_Small_Business_Matrix,,2,1,3,,
,ANZ-Camp-018-09-Opt_Debt_Consolidation_PZ,,2,1,3,,
,ANZ-Camp-019-12-Opt_Planning_Ahead_PZ,,2,1,3,,
,ANZ-Camp-020-13-Opt_Savings_PZ,,2,1,3,,
,ANZ-Camp-021-11-Opt_Small_Business_PZ,,2,1,3,,
,ANZ-Camp-022-27-Faces_B,,2,1,3,,
,ANZ-Camp-023-26-Faces_C,,2,1,3,,
,ANZ-Camp-024-20-Small_Business_CANNEX,,2,1,3,,Note: There are 2 pieces with the same number but different names and content
,ANZ-Camp-024-26-Faces_D,,2,1,3,,
,ANZ-Camp-025-20-Small_Business_Select,,2,1,3,,
,ANZ-Camp-026-20-Mortgages_Spelling_Bee,,2,1,3,,
,ANZ-Camp-027-10-ANZ_Assured,,2,1,3,,
,ANZ-Camp-028-30-Mortgages Spelling_Bee_Newspaper,,2,1,3,,
,ANZ-Camp-029-15-Insurance_Bonus_Home_Landlord,,2,1,3,,
,ANZ-Camp-030-25-Visa_Debit,,2,1,3,,
,ANZ-Camp-031-30-Fresh-Start,,2,1,3,,
,ANZ-Camp-032-37-Online_Investment_Account,,2,1,3,,
,ANZ-Camp-033-21-Opt_Buying_A_Home_09,,2,1,3,,
,ANZ-Camp-034-19-Opt_Small_Business_09,,2,1,3,,
,ANZ-Camp-035-37-Opt_Reaching_Goals_09,,2,1,3,,
,ANZ-Camp-036-30-FP_Uncertain_Times,,2,1,3,,
,ANZ-Camp-037-33-Access_Advantage_Dog,,2,1,3,,
,ANZ-Camp-038-19-Retirement_Banking_Specialist,,2,1,3,,
,ANZ-Camp-039-30-BeMoneyConfident_Bubble01,,2,1,3,,
,ANZ-Camp-040-30-BeMoneyConfident_Bubble02,,2,1,3,,
,ANZ-Camp-041-30-BeMoneyConfident_Bubble03,,2,1,3,,
,ANZ-Camp-042-30-BeMoneyConfident_Bubble04,,2,1,3,,
,ANZ-Camp-043-23-EverydayBankingMay09,,2,1,3,,
,ANZ-Camp-044-25-FinancialPlanningMay09,,2,1,3,,
,ANZ-Camp-045-23-EverydayBankingMay09_Matrix,,2,1,3,,
,ANZ-Camp-046-30-FinancialPlanningMay09_Matrix,,2,1,3,,
,ANZ-Camp-049-31-PersonalBanker,,2,1,3,,
,ANZ-Camp-048-31-MobileLender,,2,1,3,,
,ANZ-Camp-050-20-Travel_Card_US,,2,1,3,,
,ANZ-Camp-051-20-Travel_Card_INR,,2,1,3,,
,ANZ-Camp-052-30-Mortgages Spelling_Bee_Newspaper_09,,2,1,3,,
,ANZ-Camp-053-34-Opt-DebtConsolidation09,,2,1,3,,
,ANZ-Camp-054-14-Opt-Chinese09,,2,1,3,,
,ANZ-Camp-055-20-Opt-BuyingaHome09_Matrix,,2,1,3,,
,ANZ-Camp-056-18-FinancialPlanner,,2,1,3,,
,ANZ-Camp-057-18-FinancialPlanner_Matrix,,2,1,3,,
,ANZ-Camp-058-18-SmallBusinessSpecialist,,2,1,3,,
,ANZ-Camp-059-18-SmallBusinessSpecialist_Matrix,,2,1,3,,
,ANZ-Camp-060-19-InternetBanking,,2,1,3,,
,ANZ-Camp-061-19-InternetBanking_Matrix,,2,1,3,,
,ANZ-Camp-062-24-HomeLoans,,2,1,3,,
,ANZ-Camp-063-24-HomeLoans_Matrix,,2,1,3,,
,ANZ-Camp-064-26-FinancialPlannerImage,,2,1,3,,
,ANZ-Camp-065-24-FinancialPlannerImage_Matrix,,2,1,3,,
,ANZ-Camp-066-24-SmallBusinessSpecialistImage,,2,1,3,,
,ANZ-Camp-067-24-SmallBusinessSpecialistImage_Matrix,,2,1,3,,
,ANZ-Camp-068-24-InternetBankingImage,,2,1,3,,
,ANZ-Camp-069-24-InternetBankingImage_Matrix,,2,1,3,,
,ANZ-Camp-070-20-DebtConsolidation,,2,1,3,,
,ANZ-Camp-071-20-DebtConsolidation_Matrix,,2,1,3,,
,ANZ-Camp-072-19-AustralianOpen,,2,1,3,,
,ANZ-Camp-073-19-AustralianOpen_Matrix,,2,1,3,,
,ANZ-Camp-074-20-SydneyFestival,,2,1,3,,
,ANZ-Camp-075-17-Febusave,,2,1,3,,
,ANZ-Camp-076-17-SmallBusinessDebit,,2,1,3,,
,ANZ-Camp-077-20-RetirementBanking,,2,1,3,,
,ANZ-Camp-078-28-WealthCreation,,2,1,3,,
,ANZ-Camp-079-17-EverydayBanking,,2,1,3,,
,ANZ-Camp-080-15-LunarNewYear,,2,1,3,,
,ANZ-Camp-081-38-CustomerCharter,,2,1,3,,
,ANZ-Camp-082-24-FinancialPlanner_Feb10,,2,1,3,,
,ANZ-Camp-083-24-SmallBusinessSpecialist_Feb10,,2,1,3,,
,ANZ-Camp-084-24-InternetBanking_Feb10,,2,1,3,,
,ANZ-Camp-085-23-TestCampaign,,2,1,3,,
,ANZ-Camp-086-19-LunarNewYear_Matrix,,2,1,3,,
,ANZ-Camp-087-24-FinancialPlanner_Feb10_Matrix,,2,1,3,,
,ANZ-Camp-088-24-SmallBusinessSpecialist_Feb10_Matrix,,2,1,3,,
